City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Country,Current Description
196,Hamilton,39.1834,-84.5333,79.5,72,75,3.0,US,light rain
197,Saint-Philippe,-21.3585,55.7679,65.79,80,58,12.03,RE,light rain
198,Gornyak,50.9942,81.4661,61.93,49,93,8.19,RU,overcast clouds
199,Wukari,7.85,9.7833,72.25,96,100,5.39,NG,overcast clouds
200,Severo-Kurilsk,50.6789,156.125,55.51,90,100,2.98,RU,overcast clouds
201,Berlevag,70.8578,29.0864,58.8,97,100,13.76,NO,overcast clouds
202,Kavaratti,10.5669,72.642,81.39,82,100,21.0,IN,light rain
203,Valkeakoski,61.2642,24.0312,61.43,95,100,7.34,FI,overcast clouds
204,Comodoro Rivadavia,-45.8667,-67.5,31.86,80,0,4.61,AR,clear sky
205,Maldonado,-34.6667,-54.9167,45.79,82,7,8.93,UY,clear sky
206,Lavrentiya,65.5833,-171.0,52.95,67,28,8.21,RU,scattered clouds
207,Sobolevo,54.4299,31.8996,52.54,97,100,3.56,RU,overcast clouds
208,Nouadhibou,20.931,-17.0347,69.78,88,27,19.57,MR,scattered clouds
209,Kamina,-8.7386,24.9906,58.39,57,6,2.95,CD,clear sky
210,Saint-Georges,12.0564,-61.7485,78.48,83,20,8.05,GD,few clouds
211,Svelvik,59.6137,10.4087,57.65,67,99,4.27,NO,overcast clouds
212,Novyy Urengoy,66.0833,76.6333,60.82,47,1,6.91,RU,clear sky
213,Upernavik,72.7868,-56.1549,40.33,88,94,12.59,GL,overcast clouds
214,Gladstone,-23.85,151.25,62.53,31,0,8.05,AU,clear sky
215,Solnechnyy,50.7214,136.6319,74.26,74,87,5.75,RU,overcast clouds
216,Atambua,-9.1061,124.8925,77.47,56,96,3.85,ID,overcast clouds
217,Awbari,26.5921,12.7805,74.77,30,7,9.04,LY,clear sky
218,Kasongo-Lunda,-6.4667,16.8167,65.97,43,4,0.83,CD,clear sky
219,Esperance,-33.8667,121.9,63.28,44,42,22.08,AU,scattered clouds
220,Rudsar,37.1376,50.288,75.18,66,0,4.21,IR,clear sky
221,Awallan,17.9244,121.913,89.6,64,100,3.67,PH,overcast clouds
222,Alice Springs,-23.7,133.8833,54.95,47,0,14.97,AU,clear sky
223,Sabang,5.8933,95.3214,82.38,79,100,15.9,ID,moderate rain
224,Muroto,33.2833,134.15,76.37,81,100,10.78,JP,overcast clouds
225,Marabba,12.35,32.1833,80.55,65,92,4.5,SD,overcast clouds
226,Biggar,55.6167,-3.5167,52.7,96,92,6.06,GB,overcast clouds
227,San Jose,37.3394,-121.895,82.85,58,0,9.22,US,clear sky
228,Coahuayana,18.7333,-103.6833,79.39,88,100,2.84,MX,overcast clouds
229,Aykhal,66.0,111.5,54.84,60,50,7.4,RU,scattered clouds
230,Saint George,37.1041,-113.5841,91.78,29,67,6.4,US,broken clouds
231,Benoy,8.9833,16.3199,71.37,84,100,4.16,TD,light rain
232,Asau,46.4333,26.4,56.32,65,43,6.06,RO,scattered clouds
233,Grand Forks,47.9417,-97.4337,69.17,75,16,7.47,US,few clouds
234,Arraial Do Cabo,-22.9661,-42.0278,71.56,88,40,6.91,BR,scattered clouds
235,Oeiras Do Para,-2.0031,-49.8544,78.26,78,100,3.04,BR,heavy intensity rain
236,Mount Gambier,-37.8333,140.7667,54.01,68,100,2.84,AU,overcast clouds
237,Namibe,-15.1961,12.1522,62.1,89,0,0.72,AO,clear sky
238,Pevek,69.7008,170.3133,38.95,78,100,11.7,RU,overcast clouds
239,Bethanien,-26.502,17.1583,47.32,50,0,2.57,NA,clear sky
240,Licheng,23.2955,113.8284,89.98,60,26,2.1,CN,scattered clouds
241,Grenaa,56.4158,10.8783,53.82,92,4,20.85,DK,clear sky
242,Salinopolis,-0.6136,-47.3561,77.72,89,78,12.8,BR,broken clouds
243,Paita,-5.0892,-81.1144,63.86,84,22,15.14,PE,few clouds
244,Gravelbourg,49.8834,-106.5512,82.67,41,91,9.26,CA,overcast clouds
245,Sokoni,-6.4333,39.55,76.3,80,98,16.33,TZ,light rain
246,Gull Lake,50.1001,-108.4847,79.92,48,100,5.64,CA,overcast clouds
247,Ozernovskiy,51.5,156.5167,52.99,97,100,6.35,RU,overcast clouds
248,Elko,41.0002,-115.5012,95.02,19,100,6.53,US,overcast clouds
249,Kenai,60.5544,-151.2583,64.02,75,100,12.66,US,overcast clouds
250,Haines Junction,60.7522,-137.5108,60.75,59,43,3.44,CA,scattered clouds
251,Srednekolymsk,67.45,153.6833,63.93,50,73,15.48,RU,broken clouds
252,Lozuvatka,48.0571,33.2858,57.38,89,49,12.77,UA,scattered clouds
253,Fortuna,40.5982,-124.1573,64.92,74,0,3.0,US,clear sky
254,Osmena,10.5208,119.9258,83.07,80,76,14.36,PH,broken clouds
255,Abu Samrah,35.3029,37.1841,71.71,70,0,9.98,SY,clear sky
256,Sao Joao Da Barra,-21.6403,-41.0511,69.48,93,40,6.2,BR,scattered clouds
257,Norman Wells,65.282,-126.8329,55.44,88,100,8.05,CA,overcast clouds
258,Itoman,26.1247,127.6694,87.82,84,75,5.75,JP,broken clouds
259,Codrington,-38.2667,141.9667,52.66,73,100,6.69,AU,overcast clouds
260,Chokurdakh,70.6333,147.9167,55.87,41,1,10.16,RU,clear sky
261,Turukhansk,65.8167,87.9833,56.7,57,99,4.81,RU,overcast clouds
262,Valley City,46.9233,-98.0032,77.52,53,0,8.05,US,clear sky
263,Papetoai,-17.4961,-149.8729,81.99,66,37,18.1,PF,scattered clouds
264,Avera,33.194,-82.5271,72.91,92,97,4.97,US,overcast clouds
265,Soe,-9.8607,124.284,68.76,69,68,8.05,ID,broken clouds
266,Galle,6.0367,80.217,79.39,83,16,14.65,LK,few clouds
267,Lima,-12.0432,-77.0282,59.25,83,40,13.8,PE,scattered clouds
268,Ornskoldsvik,63.2909,18.7153,56.35,100,100,9.22,SE,light rain
269,Kalamare,-22.9337,26.5703,53.53,47,0,3.33,BW,clear sky
270,Los Llanos De Aridane,28.6585,-17.9182,65.95,77,20,5.75,ES,few clouds
271,Salihorsk,52.7876,27.5415,50.95,97,1,6.96,BY,clear sky
272,Maceio,-9.6658,-35.7353,72.84,88,40,4.61,BR,scattered clouds
273,Pisco,-13.7,-76.2167,59.05,88,0,16.11,PE,clear sky
